project_name,input_type,category,status,passed_filter,control_aligned,control_requires_iteration,n_control_findings,n_filter_issues,overall_gini,t0_gini,gini_12m,gini_24m,gini_full,insider_share_t0,t0_distributed_share,fairness_drift,stress_pass_rate,stress_passed,year1_inflation_proxy,n_allocations,insider_pct,distributed_pct,team_pct,investor_pct
YieldPerp Futures,structured,DeFi,Success,True,True,False,0,0,0.3600000000000001,0.0,0.6151724137931034,0.40740740740740744,0.36302521008403366,0.0,0.0,0.2823529411764706,0.8,True,24.166666666666668,5,28.0,72.0,24.0,0
VoteDAO Governance,structured,Social and Content,Success,True,True,False,0,0,0.21999999999999997,0.7,0.49302325581395356,0.3147540983606558,0.22521008403361353,0.0,1.0,0.2941176470588235,0.8,True,34.375,5,30.0,70.0,15.0,15.0
AgriChain Supply,structured,Marketplace,Success,True,True,False,0,0,0.22799999999999998,0.0,0.49836065573770494,0.35395683453237425,0.22835506941522943,0.0,0.0,0.27766091712242325,0.2,False,30.5,5,28.0,72.0,18.0,10.0
PrivacyVault Network,structured,Social and Content,Success,True,True,False,0,0,0.23199999999999998,0.0,0.5555555555555556,0.23238095238095235,0.23094339622641513,0.0,0.0,0.3018867924528302,0.8,True,18.0,5,30.0,70.0,18.0,12.0
TutorChain Education,structured,Utility,Success,True,True,False,0,0,0.16000000000000014,0.0,0.5157894736842106,0.2148760330578512,0.16000000000000014,0.0,0.0,0.3223140495867769,0.8,True,15.833333333333332,5,30.0,70.0,15.0,15.0
SolarGrid Energy,structured,Utility,Success,True,True,False,0,0,0.18399999999999994,0.0,0.5306122448979596,0.21258741258741276,,0.0,0.0,0.3146853146853147,0.8,True,16.33333333333333,5,30.0,70.0,18.0,12.0
MedVault Health,structured,Utility,Success,True,True,False,0,0,0.19999999999999996,0.6857142857142857,0.4615384615384617,0.2560000000000002,0.2011173184357542,0.0,1.0,0.3463687150837989,0.8,True,39.285714285714285,5,35.0,65.0,20.0,15.0
FanToken Sports,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.17200000000000015,0.0,0.42068965517241375,0.18253968253968256,0.17200000000000015,0.0,0.0,0.33,0.2,False,28.999999999999996,5,33.0,67.0,18.0,15.0
DerivaPro Finance,structured,Utility,Success,True,True,False,0,0,0.17999999999999994,0.0,0.38805970149253755,0.2580645161290325,0.18319327731092416,0.0,0.0,0.29831932773109243,0.6,False,27.91666666666666,5,30.0,70.0,15.0,15.0
MeshNet Wireless,structured,Infrastructure,Success,True,True,False,0,0,0.22399999999999998,0.5176470588235293,0.47887323943661975,0.3365853658536586,0.22588235294117642,0.0,1.0,0.3142857142857143,1.0,True,4.411764705882353,5,32.0,68.0,20.0,12.0
LendMate Protocol,structured,DeFi,Success,True,True,False,0,0,0.17999999999999994,0.8,0.3866666666666667,0.21090909090909093,0.17999999999999994,0.0,1.0,0.3,0.2,False,150.0,5,30.0,70.0,15.0,15.0
SwapFlow DEX,structured,DeFi,Success,True,True,False,0,0,0.14000000000000012,0.8,0.48275862068965525,0.22857142857142865,0.14000000000000012,0.0,1.0,0.3,0.6,False,81.25,5,30.0,70.0,15.0,15.0
Vault AI Finance,structured,DeFi,Success,True,True,False,0,0,0.24,0.6500000000000001,0.4878048780487805,0.2857142857142858,0.24,0.0,1.0,0.25,1.0,True,28.125,5,25.0,75.0,15.0,10.0
CryptoCredit Hub,structured,DeFi,Success,True,True,False,0,0,0.20399999999999996,0.0,0.46753246753246747,0.205243445692884,0.20399999999999996,0.0,0.0,0.33,0.2,False,38.5,5,33.0,67.0,18.0,15.0
FlashSwap Exchange,structured,DeFi,Success,True,True,False,0,0,0.17599999999999993,0.4555555555555555,0.4268456375838927,0.29239766081871355,0.18181818181818188,0.0,1.0,0.2727272727272727,1.0,True,3.4722222222222223,5,28.0,72.0,18.0,10.0
StakingMax Protocol,structured,DeFi,Success,True,True,False,0,0,0.16000000000000014,0.0,0.47804878048780486,0.2456140350877194,0.16000000000000014,0.0,0.0,0.3,0.0,False,51.24999999999999,5,30.0,70.0,15.0,15.0
BridgeChain Tech,structured,DeFi,Success,True,True,False,0,0,0.23199999999999998,0.0,0.5538461538461539,0.21333333333333337,0.23199999999999998,0.0,0.0,0.3333333333333333,1.0,True,13.0,5,30.0,70.0,18.0,12.0
RiskShield Insurance,structured,DeFi,Success,True,True,False,0,0,0.20399999999999996,0.0,0.4327044025157234,0.22446043165467633,0.20399999999999996,0.0,0.0,0.27,0.2,False,39.75,5,27.0,73.0,15.0,12.0
TradingLeverage Pro,structured,DeFi,Success,True,True,False,0,0,0.17599999999999993,0.613953488372093,0.47102803738317767,0.26111111111111107,0.17599999999999993,0.0,1.0,0.27,1.0,True,24.418604651162788,5,27.0,73.0,15.0,12.0
CryptoQuest Adventure,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.272,0.0,0.3272727272727274,0.24,0.272,0.0,0.0,0.3,0.2,False,33.0,5,30.0,70.0,18.0,12.0
MetaVerse City,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.252,0.0,0.5567010309278351,0.3296000000000001,0.252,0.0,0.0,0.3,0.6,False,24.25,5,30.0,70.0,18.0,12.0
SoulBound Battles,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.30400000000000005,0.0,0.6089552238805971,0.378021978021978,,0.0,0.0,0.32967032967032966,0.8,True,16.75,5,30.0,70.0,18.0,12.0
VRChat Token Platform,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.272,0.8,0.5467889908256882,0.28421052631578947,0.272,0.0,1.0,0.27,0.6,False,109.61538461538463,5,27.0,73.0,15.0,12.0
ChampionArena League,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.17200000000000015,0.0,0.6799999999999999,0.24139130434782619,0.17200000000000015,0.0,0.0,0.36,0.8,True,12.5,5,33.0,67.0,18.0,15.0
HybridWorld Metaverse,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.28,0.0,0.4264900662251656,0.2646616541353384,0.28,0.0,0.0,0.24,0.2,False,37.75,5,24.0,76.0,12.0,12.0
PixelCraft Studios,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.30400000000000005,0.8,0.4881889763779528,0.27,0.30400000000000005,0.0,1.0,0.3,0.2,False,111.66666666666667,5,30.0,70.0,18.0,12.0
PvP Tournament System,structured,Gaming and Metaverse,Success,True,True,False,0,0,0.30400000000000005,0.0,0.6000000000000001,0.3297560975609757,0.30400000000000005,0.0,0.0,0.22439024390243903,0.8,True,17.5,5,22.0,78.0,12.0,10.0
DualChain Interop,structured,Infrastructure,Success,True,True,False,0,0,0.264,0.6947368421052635,0.5250000000000004,0.3305019305019308,0.2616775278536896,0.0,1.0,0.2692873659869666,1.0,True,26.31578947368421,5,27.0,73.0,15.0,12.0
DataRegistry Protocol,structured,Infrastructure,Success,True,True,False,0,0,0.14000000000000012,0.8,0.45810055865921795,0.2134387351778657,0.13725820016820878,0.0,1.0,0.3490328006728343,0.2,False,123.75,5,35.0,65.0,20.0,15.0
ValidatorCloud Compute,structured,Infrastructure,Success,True,True,False,0,0,0.276,0.0,0.4677966101694915,0.2624829467939973,,0.0,0.0,0.3478854024556617,1.0,True,11.799999999999999,5,27.0,73.0,15.0,12.0
RollupSync Scale,structured,Infrastructure,Success,True,True,False,0,0,0.20799999999999996,0.8,0.6926829268292682,0.4181069958847736,0.2091080797481637,0.0,1.0,0.26883525708289613,1.0,True,24.242424242424242,5,27.0,73.0,15.0,12.0
OracleVault Network,structured,Infrastructure,Success,True,True,False,0,0,0.17200000000000015,0.0,0.4233918128654972,0.18623481781376516,0.16743794699200665,0.0,0.0,0.3294068153134203,0.2,False,42.75,5,33.0,67.0,18.0,15.0
VerifyChain Proofs,structured,Infrastructure,Success,True,True,False,0,0,0.18399999999999994,0.0,0.3317073170731708,0.1814432989690722,0.18378832423351565,0.0,0.0,0.2986140277194457,1.0,True,20.5,5,30.0,70.0,18.0,12.0
SovereignNode Mesh,structured,Infrastructure,Success,True,True,False,0,0,0.18399999999999994,0.0,0.3317073170731708,0.26428571428571423,0.18378832423351543,0.0,0.0,0.2986140277194456,1.0,True,20.5,5,30.0,70.0,18.0,12.0
DeFiShield Analytics,structured,Infrastructure,Success,True,True,False,0,0,0.24,0.6799999999999999,0.5739130434782609,0.392982456140351,0.2413431269674713,0.0,1.0,0.24868835257082897,1.0,True,15.0,5,25.0,75.0,15.0,10.0
StoryChain Creator,structured,Social and Content,Success,True,True,False,0,0,0.21599999999999997,0.6421052631578947,0.4405063291139244,0.2690265486725665,0.2211764705882353,0.0,1.0,0.2638655462184874,0.8,True,38.59649122807017,5,27.0,73.0,15.0,12.0
MusicDAO Collective,structured,Social and Content,Success,True,True,False,0,0,0.272,0.0,0.43544303797468364,0.2745945945945947,0.27283431455004226,0.0,0.0,0.2977291841883936,0.6,False,26.333333333333332,5,30.0,70.0,18.0,12.0
PodcastShare Network,structured,Social and Content,Success,True,True,False,0,0,0.252,0.8,0.5253731343283583,0.2854545454545456,0.25454545454545463,0.0,1.0,0.29292929292929293,0.6,False,78.66666666666666,5,30.0,70.0,18.0,12.0
PhotographyRights Token,structured,Social and Content,Success,True,True,False,0,0,0.21599999999999997,0.0,0.3754189944134081,0.2541871921182268,0.2211764705882353,0.0,0.0,0.2638655462184874,0.2,False,29.833333333333336,5,27.0,73.0,15.0,12.0
ResearchFund DAO,structured,Social and Content,Success,True,True,False,0,0,0.252,0.6518518518518519,0.39546313799621946,0.27262044653349027,0.25050505050505056,0.0,1.0,0.32323232323232326,0.6,False,63.27160493827159,5,33.0,67.0,18.0,15.0
CommentaryDAO Consensus,structured,Social and Content,Success,True,True,False,0,0,0.24,0.8,0.4615384615384617,0.29450549450549457,0.24537815126050422,0.0,1.0,0.24369747899159663,0.2,False,116.66666666666666,5,25.0,75.0,15.0,10.0
InfluenceShare Platform,structured,Social and Content,Success,True,True,False,0,0,0.20399999999999996,0.0,0.38612716763005794,0.244,0.20606060606060606,0.0,0.0,0.29292929292929293,0.2,False,28.833333333333332,5,30.0,70.0,18.0,12.0
CommunityVote Protocol,structured,Social and Content,Success,True,True,False,0,0,0.28800000000000003,0.8,0.5120622568093387,0.309468822170901,0.290909090909091,0.0,1.0,0.2727272727272727,0.2,False,94.69696969696967,5,28.0,72.0,18.0,10.0
ArtSale Marketplace,structured,Marketplace,Success,True,True,False,0,0,0.24,0.0,0.37593984962406024,0.26973180076628367,0.23671416596814776,0.0,0.0,0.30176026823134955,0.2,False,33.25,5,30.0,70.0,15.0,15.0
PhysicalGoods Exchange,structured,Marketplace,Success,True,True,False,0,0,0.14800000000000013,0.0,0.39641255605381165,0.27893175074183985,0.14949494949494957,0.0,0.0,0.32323232323232326,0.0,False,55.75,5,33.0,67.0,18.0,15.0
ComputeGig Exchange,structured,Marketplace,Success,True,True,False,0,0,0.276,0.8,0.5385826771653544,0.3770114942528735,0.2783193277310927,0.0,1.0,0.2638655462184874,0.6,False,67.10526315789474,5,27.0,73.0,15.0,12.0
LandTitle Registry,structured,Marketplace,Success,True,True,False,0,0,0.24,0.0,0.6526315789473685,0.38012422360248466,0.24,0.0,0.0,0.3,0.6,False,23.75,5,30.0,70.0,15.0,15.0
WholesaleHub B2B,structured,Marketplace,Success,True,True,False,0,0,0.19999999999999996,0.8,0.5263157894736843,0.3242105263157897,0.2011173184357542,0.0,1.0,0.2960893854748603,0.6,False,90.0,5,30.0,70.0,20.0,10.0
SkillBarter Exchange,structured,Marketplace,Success,True,True,False,0,0,0.256,0.0,0.4540540540540541,0.3226190476190476,0.252991452991453,0.0,0.0,0.27149321266968324,0.2,False,29.599999999999998,5,27.0,73.0,15.0,12.0
EventTicket DAO,structured,Marketplace,Success,True,True,False,0,0,0.22799999999999998,0.8,0.4140350877192982,0.3391812865497077,0.23030303030303045,0.0,1.0,0.2727272727272727,0.2,False,159.0909090909091,5,28.0,72.0,18.0,10.0
EnergyTrading P2P,structured,Marketplace,Success,True,True,False,0,0,0.21599999999999997,0.672340425531915,0.4935483870967743,0.3251461988304094,0.21818181818181825,0.0,1.0,0.2727272727272727,0.8,True,31.914893617021278,5,28.0,72.0,18.0,10.0
MedicalData Exchange,structured,Utility,Success,True,True,False,0,0,0.20799999999999996,0.0,0.55,0.24695652173913052,0.20799999999999996,0.0,0.0,0.28,0.8,True,20.0,5,28.0,72.0,18.0,10.0
IdentityVerify Network,structured,Utility,Success,True,True,False,0,0,0.20399999999999996,0.8,0.49075630252100866,0.26731707317073194,0.20606060606060606,0.0,1.0,0.29292929292929293,0.2,False,98.33333333333331,5,30.0,70.0,18.0,12.0
EmissionTracker Protocol,structured,Utility,Success,True,True,False,0,0,0.16000000000000014,0.0,0.4627450980392158,0.23505154639175263,0.15874345549738234,0.0,0.0,0.3015706806282723,0.2,False,31.874999999999996,5,30.0,70.0,15.0,15.0
VotingChain Governance,structured,Utility,Success,True,True,False,0,0,0.21599999999999997,0.0,0.5549668874172184,0.31706263498920095,0.21818181818181825,0.0,0.0,0.2727272727272727,0.0,False,50.33333333333333,5,28.0,72.0,18.0,10.0
QualityAssurance Token,structured,Utility,Success,True,True,False,0,0,0.14000000000000012,0.8,0.4484848484848485,0.19428571428571462,0.14078212290502812,0.0,1.0,0.34636871508379885,0.2,False,106.25,5,35.0,65.0,20.0,15.0
PropertyInsurance Crypto,structured,Utility,Success,True,True,False,0,0,0.14800000000000013,0.0,0.3616613418530352,0.2110363391655452,0.14949494949494957,0.0,0.0,0.32323232323232326,0.6,False,26.083333333333332,5,33.0,67.0,18.0,15.0
CustomerLoyalty Web3,structured,Utility,Success,True,True,False,0,0,0.268,0.0,0.45498281786941575,0.2912280701754384,0.268,0.0,0.0,0.28,0.6,False,24.25,5,28.0,72.0,18.0,10.0
WaterRights Trading,structured,Utility,Success,True,True,False,0,0,0.17999999999999994,0.0,0.42958199356913185,0.27630522088353415,0.18989898989899,0.0,0.0,0.35353535353535354,0.6,False,25.916666666666664,5,35.0,65.0,20.0,15.0
EducationCredit Token,structured,Utility,Success,True,True,False,0,0,0.276,0.0,0.370860927152318,0.21325966850828748,,0.0,0.0,0.29005524861878457,0.8,True,20.13333333333333,5,27.0,73.0,15.0,12.0
